key,time_pressed,time_released,hold_time,flight_time
r,1742169791.6644485,1742169791.7206044,0.05615592002868652,0.18560361862182617
s,1742169791.7435303,1742169791.8789387,0.1354084014892578,0.07908177375793457
d,1742169791.7495651,1742169791.8724446,0.1228795051574707,0.00603485107421875
f,1742169791.848365,1742169791.9575486,0.10918354988098145,0.0987999439239502
s,1742169791.9909322,1742169792.2725284,0.28159618377685547,0.14256715774536133
d,1742169791.999461,1742169792.070188,0.07072710990905762,0.008528709411621094
f,1742169792.0368233,1742169792.2797952,0.24297189712524414,0.03736233711242676
d,1742169792.158247,1742169792.2369254,0.07867836952209473,0.12142372131347656
